ID,YEAR,TRANS,SITE,TREAT,PLOT,GROUP,YST,WATER,TREE,VEG,Agrocani,Andropoli,Betunana,Betupube,Calastri,Carecane,Carechor,Caredioi,Careechi,Carelasi,Carelimo,Carelivi,Caremage,Carepauc,Carerost,Cirspalu,Drosera,Dryocart,Empenigr,Erioangu,Eriovagi,Hammpalu,Ledupalu,Lycoannu,Melaprat,Menytrif,Piceabie,Pinusylv,Potepalu,Rubucham,Salix spp,Schepalu,Triccesp,Trieeuro,Utriinte,Vaccmyrt,Vaccoxyc2,Vacculig,Vaccviti,Violpalu,Spharecu,Sphabalti,Sphacapi,Sphacusp,Sphafusc,Sphamage,Sphamaju,Sphaobtu,Sphapapi,Sphapulc,Spharube,Spharuss,Sphasubf,Sphasubn,Sphasubs,Sphatene,Sphatere,Sphawarn,Sphasp,Aulapalu,Brachoedi,Bryumsp,Callstra,Cladonia spp,Dicranum spp,Hepatics 2,Limbinte,Limbrevo,Mylianom,Pleuschr,Pohlnuta,Polycomm,Polystri,Warnsdorfia sp,O_SEDGE,SEDGE,HERB,GRASS,D_SHRUB,E_SHRUB,Fs_MOSS,Br_MOSS,Ho_MOSS,La_MOSS,Hu_MOSS,D_SHRUB1,E_SHRUB1,TREE
mesc_01,2000,I1,mes,ctr,mesc_1,min_hl,0,-1.210526316,0,11,,,,,,,,,,,,,,,,,,,3,,1,,na,,,,,,,na,,,,,,,,7,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,7,3,0,0,0,100,0,7,3,0
mesc_02,2000,I1,mes,ctr,mesc_2,min_hl,0,-1.210526316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,0,0,0,0,0,0,0,0.075,0,87.5,0,0,0,0
mesc_03,2000,I1,mes,ctr,mesc_3,mes_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,32.5,,,,,,,,,,,,,,0.025,,23.75,,,,,,0.1,,,,,,,,,,,,0,0,0,0,0,0,0,0.1,0.025,56.25,0,0,0,0
mesc_04,2000,I1,mes,ctr,mesc_4,mes_l,0,-1.210526316,0,22.3,,15,,,,,0.1,,,7,0.1,,,,,,,,,,,,,,,,,,,,,0.1,,,,,5,,,,87.5,,,,,,,,,,,,,,,,2.5,,,0.525,,,,,,,,,,,,,4,,0,7.2,0.1,0,0,20,4.525,0,0,90,0,0,20,0
mesc_05,2000,I1,mes,ctr,mesc_5,mes_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,0.25,,,,,0.8,,,,,,,,,,,,,,,0,0,0,0,0,0,0.8,0,0.25,0,0,0,0,0
mesc_06,2000,I2,mes,ctr,mesc_6,oli_l,0,-1.210526316,0,50.1,,7,,,,,,,,5,,,,,,,,,30,,0.1,,,,,1,,,7,,,,,,,,7,,,,47.5,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,8,0,0,44,0,0,0,100,0,0,44,0
mesc_07,2000,I2,mes,ctr,mesc_7,oli_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,27.5,,,,,72.5,,,,,,,,,,,0.025,,,0.075,,,,,,,,,,,,,,,0,0,0,0,0,0,0.075,0,0,100.025,0,0,0,0
mesc_08,2000,I2,mes,ctr,mesc_8,oli_l,0,-1.210526316,0,20.6,,15,15,,,,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,5,,,,70,,,,,7.5,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,0,5.1,0.5,0,15,20,0.025,0,0,77.5,0,15,20,0
mesc_09,2000,I2,mes,ctr,mesc_9,mes_ho,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0
mesc_10,2000,I2,mes,ctr,mesc_10,oli_l,0,-1.210526316,0,20.1,,10,2,,,,,,,2,,,,,3,,,,,0.1,4,,,,,,,,,,,1,,,,,2,,,,31.25,,,,,16.25,,,,,,,,,0.025,,,,,32.5,,,,,,,,,,0.275,,,,,4,5.1,1,0,2,12,32.775,0,0.025,47.5,0,2,12,0
mesc_11,2000,J1,mes,ctr,mesc_11,min_hl,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,93.75,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0,0,0,0,0,0,0,0.1,0,93.75,0,0,0,0
mesc_12,2000,J1,mes,ctr,mesc_12,mes_ho,0,-1.210526316,0,18.2,,1,,,,,0.1,,,3,,,,,10,,,,,4,0.1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,0.75,,0.875,,,,,,,,,,,,,,,,,14.25,0.1,17.1,0,0,0,6,0,14.25,0.75,0.875,0,0,6,0
mesc_13,2000,J1,mes,ctr,mesc_13,min_hl,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.525,,,5.025,,0,0,0,0,0,0,11.55,0,0,52.5,0,0,0,0
mesc_14,2000,J1,mes,ctr,mesc_14,mes_l,0,-1.210526316,0,11.2,,5,,,,,,,,,0.1,,1,,,,,,,,,,,,,5,,,0.1,,,,,,3,,,,,,0.25,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,1.1,8.1,0,0,5,0,0,0,1.25,0,0,5,0
mesc_15,2000,J1,mes,ctr,mesc_15,oli_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,,,,,,,,93.25,,,,,,,,,,,0.025,,,,,,,,,,,,,,,0,0,0,0,0,0,0.025,0,0,97.25,0,0,0,0
mesc_16,2000,J2,mes,ctr,mesc_16,mes_l,0,-1.210526316,0,40,,2,3,,,,1,,,30,,2,,,1,,,,,3,,,,,,1,,,,,,,,,7,,2,,,,23.75,,,,,,,,,,,,,,,,11.25,,,0.05,,,0.075,,,,,,,,,,,0.25,0,37,8,0,3,4,0.05,0.325,0,35,0,3,4,0
mesc_17,2000,J2,mes,ctr,mesc_17,oli_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,94.25,,,,,3.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,97.525,0,0,0,0
mesc_18,2000,J2,mes,ctr,mesc_18,min_hl,0,-1.210526316,0,11.3,,1,3,,,,0.1,,,10,,0.1,,,,,,,,,,,,,,,,,,,,0.1,,,0.5,,1,,,,91.275,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,1.525,,,,,0,10.2,0.6,0,3,2,1.825,0,0,91.275,0,3,2,0
mesc_19,2000,J2,mes,ctr,mesc_19,mes_ho,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0
mesc_20,2000,J2,mes,ctr,mesc_20,mes_ho,0,-1.210526316,0,25.1,,5,1,,,,,,,5,,,,,7,,,,7,1,0.1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.1,13,0,0,1,17,0,3.5,0,0,0,1,17,0
mesc_21,2000,K,mes,ctr,mesc_21,mes_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,65,,,,,,,,,,,,,,,,6.75,,,0.175,,,0.025,,,,,,,0.025,,,,2.25,0,0,0,0,0,0,0.2,2.275,0,71.75,0,0,0,0
mesc_22,2000,K,mes,ctr,mesc_22,mes_l,0,-1.210526316,0,28,,1,,,,,,,,25,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,,,,14.75,,,,,,,,,,,,,,0.5,,3,,,,,,0.075,,,,,,,,,,,,0,25,5,0,0,4,0,0.075,0.5,17.75,0,0,4,0
mesc_23,2000,K,mes,ctr,mesc_23,mes_ho,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0
