Site_code,Site,Treatment,Fgroup,Species,Plot,LAImax,LAImin,LMA,Max_BM,Min_BM,BM_Growth,WT,PineBM_change,SpruceBM_change,BirchBM_change
MEC,mes,ctr,Evergreen shrubs,AndrPoli,1,0.031542207,0.014414063,164.4923301,5.188451205,2.371002727,2.817448478,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,AndrPoli,2,0.229060505,0.09689969,164.4923301,37.67869627,15.93925572,21.73944055,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,AndrPoli,3,0.114328846,0.044834185,164.4923301,18.80621831,7.37487951,11.4313388,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,AndrPoli,4,0.058611491,0.031817808,164.4923301,9.64114078,5.233785459,4.407355321,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,AndrPoli,5,0.039005785,0.004324219,164.4923301,6.416152409,0.711300818,5.704851591,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,AndrPoli,6,0.012110391,0,164.4923301,1.992066421,0,1.992066421,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,AndrPoli,7,0.144415385,0.070866937,164.4923301,23.75522312,11.65706761,12.09815551,-6,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,AndrPoli,8,0.107146915,0.0230625,164.4923301,17.62484577,3.793604364,13.83124141,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,VaccOxyc,1,0.176679113,0.069401586,84.55503294,14.93910821,5.868253375,9.070854831,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,VaccOxyc,2,0.142795603,0.055692631,84.55503294,12.0740869,4.709092215,7.364994682,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,VaccOxyc,3,0.298744573,0.043697295,84.55503294,25.26035719,3.694826199,21.56553099,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Evergreen shrubs,VaccOxyc,4,0.083801982,0.017136194,84.55503294,7.085879329,1.448951451,5.636927878,-10.2,3942.784328,na,163.447769
